coli ; colii
51; (50,7),(4999,700),(499850,69993),(49980001,6998600),(4997500250,699790007)
52; (649,90),(842401,116820),(1093435849,151632270),(1419278889601,196818569640),
53; (66249,9100),(8777860001,1205731800),
54; (485,66),(470449,64020),(456335045,62099334),(442644523201,60236289960)
55; (89,12),(15841,2136),(2819609,380196),(501874561,67672752
56; (15,2),(449,60),(13455,1798),(403201,53880),(12082575,1614602)
57; (151,20),(45601,6040),(13771351,1824060),(4158902401,550860080)
58; (19603,2574),(768555217,100916244),(30131975818099,3956522259690),
59; (530,69),(561799,73140),(595506410,77528331),(631236232801,82179957720)
60; (31,4),(1921,248),(119071,15372),(7380481,952816),(457470751,59059220)
62; (63,8),(7937,1008),(999999,127000),(125991937,16000992),(15873984063,2015997992)
63; (8,1),(127,16),(2024,255),(32257,4064),(514088,64769),(8193151,1032240)
64; 
65; (129,16),(33281,4128),(8586369,1065008),(2215249921,274767936)
66; (65,8),(8449,1040),(1098305,135192),(142771201,17573920)
67; (48842,5967),(4771081927,582880428),(466058366908226,56938091722785),
68; (33,4),(2177,264),(143649,17420),(9478657,1149456),(625447713,75846676)
69; (7775,936),(120901249,14554800),(1880014414175,226327139064),
70; (251,30),(126001,15060),(63252251,7560090),(31752504001,3795150120)
71; (3480,413),(24220799,2874480),(168576757560,20006380387),
72; (17,2),(577,68),(19601,2310),(665857,78472),(22619537,2665738)
73; (2281249,267000),(10408194000001,1218186966000),
74; (3699,430),(27365201,3181140),(202447753299,23534073290),
75; (26,3),(1351,156),(70226,8109),(3650401,421512),(189750626,21910515)
76; (57799,6630),(6681448801,766414740),(772362118440199,88596011107890),
77; (351,40),(246401,28080),(172973151,19712120),(121426905601,13837880160),
78; (53,6),(5617,636),(595349,67410),(63101377,7144824),(6688150613,757283934),
79; (80,9),(12799,1440),(2047760,230391),(327628801,36861120)
80; (9,1),(161,18),(2889,323),(51841,5796),(930249,104005),(16692641,1866294
81; 
82; (163,18),(53137,5868),(17322499,1912950),(5647081537,623615832)
83; (82,9),(13447,1476),(2205226,242055),(361643617,39695544)
84; (55,6),(6049,660),(665335,72594),(73180801,7984680),(8049222775,878242206)
85; (285769,30996),(163327842721,17715391848),
86; (10405,1122),(216528049,23348820),(4505948689285,485888943078),
87; (28,3),(1567,168),(87724,9405),(4910977,526512),(274926988,29475267
88; (197,21),(77617,8274),(30580901,3259935),(12048797377,1284406116)
89; (500001,53000),(500002000001,53000106000),
90; (19,2),(721,76),(27379,2886),(1039681,109592),(39480499,4161610),
91; (1574,165),(4954951,519420),(15598184174,1635133995)
92; (1151,120),(2649601,276240),(6099380351,635904360)
93; (12151,1260),(295293601,30620520),(7176225079351,744139875780),
94; (2143295,221064),(9187426914049,947610731760),
95; (39,4),(3041,312),(237159,24332),(18495361,1897584),(1442400999,147987220)
96; (49,5),(4801,490),(470449,48015),(46099201,4704980),(4517251249,461040025)
97; (62809633,6377352),
98; (99,10),(19601,1980),(3880899,392030),(768398401,77619960)
99; (10,1),(199,20),(3970,399),(79201,7960),(1580050,158801),(31521799,3168060)
100; 

