coli ; colii
1; 
2; (3,2),(17,12),(99,70),(577,408),(3363,2378),(19601,13860),(114243,80782)
3; (2,1),(7,4),(26,15),(97,56),(362,209),(1351,780),(5042,2911),(18817,10864),
4; 
5; (9,4),(161,72),(2889,1292),(51841,23184),(930249,416020),(16692641,7465176),
6; (5,2),(49,20),(485,198),(4801,1960),(47525,19402),(470449,192060),(4656965,1901198)
7; (8,3),(127,48),(2024,765),(32257,12192),(514088,194307),(8193151,3096720)
8; (3,1),(17,6),(99,35),(577,204),(3363,1189),(19601,6930),(114243,40391)
9; 
10; (19,6),(721,228),(27379,8658),(1039681,328776),(39480499,12484830)
11; (10,3),(199,60),(3970,1197),(79201,23880),(1580050,476403),(31521799,9504180)
12; (7,2),(97,28),(1351,390),(18817,5432),(262087,75658),(3650401,1053780)
13; (649,180),(842401,233640),(1093435849,303264540),(1419278889601,393637139280),
14; (15,4),(449,120),(13455,3596),(403201,107760),(12082575,3229204)
15; (4,1),(31,8),(244,63),(1921,496),(15124,3905),(119071,30744),(937444,242047)
16; 
17; (33,8),(2177,528),(143649,34840),(9478657,2298912),(625447713,151693352)
18; (17,4),(577,136),(19601,4620),(665857,156944),(22619537,5331476)
19; (170,39),(57799,13260),(19651490,4508361),(6681448801,1532829480)
20; (9,2),(161,36),(2889,646),(51841,11592),(930249,208010),(16692641,3732588)
21; (55,12),(6049,1320),(665335,145188),(73180801,15969360),(8049222775,1756484412)
22; (197,42),(77617,16548),(30580901,6519870),(12048797377,2568812232)
23; (24,5),(1151,240),(55224,11515),(2649601,552480),(127125624,26507525)
24; (5,1),(49,10),(485,99),(4801,980),(47525,9701),(470449,96030),(4656965,950599)
25; 
26; (51,10),(5201,1020),(530451,104030),(54100801,10610040),(5517751251,1082120050)
27; (26,5),(1351,260),(70226,13515),(3650401,702520),(189750626,36517525)
28; (127,24),(32257,6096),(8193151,1548360),(2081028097,393277344)
29; (9801,1820),(192119201,35675640),(3765920568201,699313893460),
30; (11,2),(241,44),(5291,966),(116161,21208),(2550251,465610)
31; (1520,273),(4620799,829920),(14047227440,2522956527)
32; (17,3),(577,102),(19601,3465),(665857,117708),(22619537,3998607)
33; (23,4),(1057,184),(48599,8460),(2234497,388976),(102738263,17884436)
34; (35,6),(2449,420),(171395,29394),(11995201,2057160)
35; (6,1),(71,12),(846,143),(10081,1704),(120126,20305),(1431431,241956)
36; 
37; (73,12),(10657,1752),(1555849,255780),(227143297,37342128)
38; (37,6),(2737,444),(202501,32850),(14982337,2430456),(1108490437,179820894)
39; (25,4),(1249,200),(62425,9996),(3120001,499600),(155937625,24970004)
40; (19,3),(721,114),(27379,4329),(1039681,164388),(39480499,6242415)
41; (2049,320),(8396801,1311360),(34410088449,5373952960)
42; (13,2),(337,52),(8749,1350),(227137,35048),(5896813,909898),(153090001,23622300)
43; (3482,531),(24248647,3697884),(168867574226,25752063645),
44; (199,30),(79201,11940),(31521799,4752090),(12545596801,1891319880)
45; (161,24),(51841,7728),(16692641,2488392),(5374978561,801254496
46; (24335,3588),(1184384449,174627960),(57643991108495,8499142809612),
47; (48,7),(4607,672),(442224,64505),(42448897,6191808),(4074651888,594349063)
48; (7,1),(97,14),(1351,195),(18817,2716),(262087,37829),(3650401,526890)
49; 
50; (99,14),(19601,2772),(3880899,548842),(768398401,108667944)
